Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
CENTRE LEARNING COMMUNITY CS,Pennsylvania,4200023,9.69,9.69,10.53,10.53,0,0,4.14,3.99,1.56,22.69,6.00,0,0,0,†,0,0,0,1.00,0,0,2.50,="0.50",3.00
CENTREVILLE PUBLIC SCHOOLS,Michigan,2608670,61.40,61.40,15.70,15.52,0,3.00,22.50,29.50,6.40,103.85,12.60,1.10,0,1.00,†,1.00,1.00,0,1.30,2.00,2.00,5.00,5.50,10.95
CENTURA PUBLIC SCHOOLS,Nebraska,3162950,41.88,41.88,11.68,11.68,1.00,2.00,17.38,21.50,†,77.76,6.00,0,0,1.00,†,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.88,17.00
CENTURY CUSD 100,Illinois,1739630,40.00,33.00,11.65,13.85,3.00,2.00,19.00,16.00,0,43.92,–,0,0,0,1.00,1.00,1.00,–,="0.92",–,1.00,–,0,–
CERES UNIFIED,California,="0608130",553.39,553.39,22.42,22.34,–,–,395.15,158.24,†,856.49,84.00,–,–,–,†,–,–,–,15.00,–,15.20,–,49.90,139.00
CERRO GORDO CUSD 100,Illinois,1709330,39.00,39.00,16.05,16.05,1.00,3.00,19.00,16.00,0,44.61,–,0,0,1.00,†,1.00,1.00,–,1.00,–,2.61,–,0,–
CESA,Florida,1200005,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CESAR CHAVEZ ACADEMY,Michigan,2600139,108.81,108.81,17.12,16.95,0,5.00,33.00,60.00,10.81,214.45,38.70,10.00,0,0,1.00,1.00,0,0,="0.03",7.67,4.97,4.45,9.34,29.48
CESAR CHAVEZ COLLEGE PREPARATORY SCHOOL,Ohio,3901335,2.00,2.00,19.00,19.00,0,0,2.00,0,0,4.60,2.40,0,–,–,†,–,0,0,0,="0.20",0,0,0,0
CESAR CHAVEZ COMMUNITY  SCHOOL,New Mexico,3500117,0,9.27,†,16.29,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CESAR CHAVEZ LEARNING COMMUNITY  INC.,Arizona,="0400253",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CESAR CHAVEZ PUBLIC PCS,District of Columbia,1100005,140.00,140.00,9.88,9.88,0,0,61.97,78.03,0,164.00,0,0,0,0,5.00,5.00,2.00,0,0,0,13.00,0,4.00,0
CHADRON PUBLIC SCHOOLS,Nebraska,3104980,85.70,85.70,11.04,11.04,="0.91",4.00,56.43,24.36,†,172.05,39.15,3.00,2.00,1.00,†,3.00,2.00,2.00,3.30,4.00,3.57,7.25,2.00,17.08
CHADWICK R-I,Missouri,2908430,22.29,22.99,10.23,9.92,1.00,1.08,9.10,11.11,†,38.62,1.00,="0.28",="0.30",="0.10",="0.21",="0.61",="0.44",0,1.00,5.00,1.00,0,0,7.00
CHADWICK-MILLEDGEVILLE CUSD 399,Illinois,1709400,39.92,39.92,13.18,13.13,0,0,21.92,18.00,0,44.92,–,0,0,1.00,†,1.00,1.00,–,1.00,–,1.00,–,1.00,–
CHAFFEE R-II,Missouri,2908460,†,41.28,–,13.32,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHAFFEY JOINT UNION HIGH,California,="0608160",980.40,980.40,25.92,25.87,–,–,47.64,932.76,†,1420.60,108.00,–,–,–,†,–,–,–,12.00,–,44.20,–,81.00,195.00
CHAGRIN FALLS EXEMPTED VILLAGE,Ohio,3904528,138.35,135.52,14.56,14.87,1.00,7.50,52.25,72.60,5.00,275.70,19.47,1.00,–,–,6.00,6.00,2.00,2.72,2.00,12.95,5.00,11.64,14.61,59.96
CHALLENGE FOUNDATION ACADEMIES OF ARIZONA  INC.,Arizona,="0400798",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHALLENGE FOUNDATION ACADEMY,Indiana,1800057,18.00,17.00,23.33,24.71,0,3.00,15.00,0,0,38.00,8.00,4.00,1.00,0,†,1.00,0,0,2.00,0,2.00,2.00,1.00,0
CHALLENGE SCHOOL  INC.,Arizona,="0400135",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHALLENGER BASIC SCHOOL  INC.,Arizona,="0400359",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHALLIS JOINT DISTRICT,Idaho,1600720,34.83,34.83,11.60,11.60,="0.60",1.50,15.79,16.94,†,62.91,5.62,="0.25",1.00,="0.44",†,1.44,="0.32",="0.60",1.00,2.80,1.75,1.78,0,12.52
CHAMA VALLEY INDEP. SCHOOLS,New Mexico,3500420,33.19,35.19,12.17,11.37,1.00,2.00,10.00,16.64,3.55,93.65,10.00,2.00,="0.75",1.25,†,2.00,2.00,1.00,3.00,1.00,3.00,10.00,4.96,21.50
CHAMBERLAIN SCHOOL DISTRICT 07-1,South Dakota,4612000,82.25,82.25,10.41,10.41,2.00,3.50,50.68,20.06,6.01,144.95,25.53,2.67,–,–,2.00,2.00,1.00,0,7.60,2.00,3.00,2.00,3.00,13.90
CHAMBERS COUNTY,Alabama,="0100600",260.57,260.57,15.71,15.71,8.00,29.00,114.40,109.17,†,466.66,–,–,4.50,4.00,1.50,10.00,9.27,1.00,4.00,6.75,15.56,17.19,17.00,125.32
CHAMBERS PUBLIC SCHOOLS,Nebraska,3105010,18.87,18.87,8.48,8.48,0,1.00,7.77,10.10,†,32.56,="0.85",="0.50",0,="0.50",†,="0.50",="0.50",0,="0.25",="0.88",="0.75",="0.66",="0.80",8.00
CHAMBERSBURG AREA SD,Pennsylvania,4205550,544.70,543.70,15.58,15.61,0,30.00,256.99,235.63,22.08,1053.90,117.50,12.00,9.00,14.00,†,23.00,13.00,18.00,6.00,0,35.20,80.50,24.00,180.00
CHAMPAIGN CUSD 4,Illinois,1709420,711.75,696.86,13.29,13.34,16.00,33.00,455.05,207.70,0,861.94,–,7.00,7.00,10.00,†,17.00,15.00,–,12.00,–,47.00,–,52.19,–
CHAMPAIGN/FORD ROE,Illinois,1700171,15.10,14.10,0,8.23,0,0,1.00,14.10,0,21.10,–,0,0,0,†,0,0,–,0,–,3.00,–,3.00,–
CHAMPIE ELEMENTARY DISTRICT,Arizona,="0401830",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHAMPION LOCAL,Ohio,3905013,91.31,89.00,16.94,17.38,0,4.10,40.71,43.87,2.63,176.21,7.00,0,–,–,4.00,4.00,1.00,3.00,2.00,5.33,5.00,9.00,5.57,43.00
CHAMPLAIN VALLEY UHSD #15,Vermont,5003030,97.99,97.99,13.98,14.23,0,0,0,86.49,11.50,210.80,58.20,1.00,0,6.00,†,6.00,1.50,3.11,0,1.00,7.00,9.00,10.00,16.00
CHANDLER,Oklahoma,4007290,76.80,76.80,15.30,15.30,2.00,3.00,34.70,37.10,†,129.20,9.00,1.00,="0.70",1.30,†,2.00,2.00,3.00,1.00,4.00,4.00,6.00,3.10,17.30
CHANDLER PARK ACADEMY,Michigan,2600168,81.35,81.35,21.32,21.09,0,5.00,39.00,34.75,2.60,139.60,0,1.50,0,3.00,†,3.00,0,1.00,0,0,5.00,7.00,20.50,20.25
CHANDLER PREPARATORY ACADEMY,Arizona,="0400440",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHANDLER UNIFIED DISTRICT #80,Arizona,="0401870",1985.33,1980.33,19.21,19.21,0,135.00,1061.97,788.36,†,3724.96,473.19,3.00,30.80,34.90,†,65.70,34.80,163.33,5.00,32.88,60.00,134.89,280.88,485.96
CHANDLER WOODS CHARTER ACADEMY,Michigan,2600209,31.45,31.45,22.54,22.32,0,2.00,18.38,10.00,1.07,47.94,7.08,0,0,0,†,0,="0.50",0,0,0,2.00,2.75,2.40,1.76
CHANEY-MONGE SD 88,Illinois,1709510,26.00,22.00,19.00,21.64,0,1.00,25.00,0,0,29.00,–,0,0,0,†,0,0,–,1.00,–,1.00,–,1.00,–
CHANNAHON SD 17,Illinois,1709540,79.00,77.00,20.01,20.53,0,0,49.50,29.50,0,90.00,–,0,0,0,†,0,0,–,1.00,–,6.00,–,4.00,–
CHANNELVIEW ISD,Texas,4813590,566.12,564.11,15.27,15.32,13.00,35.87,246.59,193.70,76.96,1166.93,51.82,13.00,–,–,16.12,16.12,3.71,5.00,5.00,28.00,41.00,34.00,28.52,374.64
CHANNING HALL,Utah,4900040,34.26,24.53,18.74,26.17,0,2.00,18.70,11.05,2.51,57.23,11.15,1.25,0,0,†,0,0,1.55,1.00,="0.43",1.25,2.00,2.00,2.34
CHANNING ISD,Texas,4813620,16.33,16.33,9.00,9.00,0,1.21,6.93,8.19,0,28.93,2.00,0,–,–,†,–,0,0,1.00,1.00,="0.67",1.00,0,6.93
CHANUTE PUBLIC SCHOOLS,Kansas,2004590,145.00,145.00,13.31,12.70,4.00,7.00,49.50,69.30,15.20,237.20,16.00,1.00,2.00,4.00,†,6.00,4.00,1.20,2.00,1.00,8.00,9.10,4.70,39.20
CHAPARRAL STAR ACADEMY,Texas,4800064,20.54,20.54,14.80,14.80,0,0,8.08,12.46,0,24.39,0,="0.24",–,–,†,–,0,0,="0.49",0,2.81,0,="0.31",0
CHAPEL HILL ACADEMY,Texas,4801407,14.59,14.59,18.37,18.37,2.00,6.00,6.59,0,0,21.59,4.00,0,–,–,†,–,0,0,0,0,0,="0.24",0,2.76
CHAPEL HILL ISD,Texas,4813650,231.27,231.29,13.90,13.90,4.00,14.15,87.92,90.90,34.30,495.00,74.02,6.52,–,–,10.00,10.00,3.03,0,2.00,15.25,14.76,18.39,13.08,106.68
CHAPEL HILL ISD,Texas,4813680,80.59,80.59,11.25,11.25,0,4.00,29.17,40.05,7.37,138.95,20.25,1.00,–,–,2.12,2.12,1.00,1.00,2.00,3.00,4.00,6.00,0,17.99
CHAPEL HILL-CARRBORO CITY SCHOOLS,North Carolina,3700720,938.05,911.51,12.35,12.71,19.80,0,411.65,480.52,26.08,1831.46,314.18,14.84,10.00,32.96,†,42.96,15.87,17.02,20.00,57.98,40.98,67.80,118.51,183.27
CHAPLIN SCHOOL DISTRICT,Connecticut,="0900720",20.95,19.95,8.26,8.67,2.55,0,15.60,0,2.80,45.65,8.00,2.00,0,0,†,0,0,2.00,="0.20",1.25,1.00,0,1.00,9.25
CHAPMAN,Kansas,2004620,75.20,75.20,13.02,13.02,0,5.00,30.20,35.00,5.00,163.80,26.00,="0.60",="0.40",1.00,†,1.40,="0.90",1.30,1.00,4.90,5.40,0,11.20,35.90
CHAPPAQUA CENTRAL SCHOOL DISTRICT,New York,3606990,350.71,332.34,11.88,12.54,0,21.40,128.89,147.19,53.23,626.35,80.00,1.00,0,14.00,†,14.00,7.00,6.50,4.00,53.00,14.00,4.80,16.64,74.70
CHARDON LOCAL,Ohio,3904718,176.63,172.19,17.73,18.18,0,7.36,73.18,92.75,3.34,394.24,22.62,0,–,–,6.00,6.00,4.00,0,4.00,9.84,9.00,20.00,34.65,107.50
CHARIHO,Rhode Island,4400150,305.00,306.50,11.72,11.64,4.00,7.00,112.00,182.00,†,496.00,82.00,3.00,3.00,9.00,†,12.00,10.00,3.00,3.00,4.00,9.00,19.00,3.00,43.00
CHARITON COMM SCHOOL DISTRICT,Iowa,1907050,111.90,111.90,13.66,13.38,3.00,6.83,50.09,51.98,†,197.60,26.70,0,1.00,1.00,†,2.00,1.00,2.50,3.00,2.70,5.00,7.50,2.00,33.30
CHARLEROI SD,Pennsylvania,4205640,118.70,118.70,13.56,13.56,0,7.00,52.59,57.11,2.00,205.00,0,="0.50",1.00,3.00,†,4.00,2.00,2.00,4.00,8.00,4.80,13.00,0,48.00
CHARLES A TINDLEY ACCELERATED SCHL,Indiana,1800045,29.00,29.00,14.55,14.55,0,0,7.00,22.00,0,38.00,4.00,0,0,1.00,†,1.00,0,0,1.00,0,2.00,1.00,0,0
CHARLES CITY CO PBLC SCHS,Virginia,5100720,56.27,56.27,15.51,15.51,3.00,3.00,20.00,30.27,†,119.50,16.00,5.00,1.00,2.00,†,3.00,1.00,2.00,2.00,2.00,6.25,6.00,2.00,17.98
CHARLES CITY COMM SCHOOL DISTRICT,Iowa,1907080,116.34,116.34,13.36,13.43,4.00,7.59,46.35,58.40,†,232.04,44.40,1.00,3.00,2.00,†,5.00,2.00,3.50,1.90,4.10,6.00,7.40,0,40.40
CHARLES COUNTY PUBLIC SCHOOLS,Maryland,2400270,1735.10,1716.50,15.43,15.60,29.00,88.00,813.50,804.60,†,3331.43,389.00,111.00,36.25,41.25,†,77.50,34.00,31.00,68.07,83.60,116.00,154.50,111.78,419.88
CHARLES SCHOOL AT OHIO DOMINICAN UNIVERSITY,Ohio,3900586,12.00,12.00,21.17,21.17,0,0,0,12.00,0,23.00,0,0,–,–,†,–,0,0,0,7.00,0,0,0,4.00
CHARLESTON 01,South Carolina,4501440,2988.60,2978.60,14.41,14.46,66.60,156.30,1792.60,973.10,†,4130.40,534.30,13.00,62.80,60.60,†,123.40,73.00,0,10.00,45.80,166.10,0,173.20,3.00
CHARLESTON CUSD 1,Illinois,1709600,180.10,179.10,16.06,15.93,2.50,11.00,113.60,53.00,0,213.15,–,1.00,3.00,2.00,†,5.00,5.00,–,3.00,–,9.05,–,10.00,–
CHARLESTON R-I,Missouri,2908670,94.20,94.44,11.71,11.68,2.28,7.64,37.29,46.99,†,180.12,29.50,1.00,2.00,2.00,†,4.00,2.99,0,2.00,10.00,6.00,0,4.43,26.00
CHARLESTON SCHOOL DISTRICT,Arkansas,="0504200",67.00,67.00,13.22,13.22,1.00,6.00,28.00,29.00,3.00,116.00,6.00,2.00,2.00,2.00,†,4.00,2.00,1.00,2.00,4.00,3.00,4.00,9.00,12.00
CHARLESTON SCHOOL DISTRICT,Vermont,5003060,11.67,11.67,8.40,8.31,="0.40",1.64,6.27,2.36,1.00,27.17,6.60,0,="0.75",="0.25",†,1.00,0,="0.80",0,0,1.00,1.00,1.10,4.00
CHARLEVOIX PUBLIC SCHOOLS,Michigan,2608730,75.35,75.35,15.26,15.10,0,5.00,26.80,35.35,8.20,131.65,1.75,1.00,2.00,1.00,†,3.00,1.60,0,1.50,0,3.50,8.00,13.95,22.00
CHARLEVOIX-EMMET ISD,Michigan,2680240,31.86,24.86,3.83,4.87,1.50,0,0,0,30.36,201.42,26.15,8.02,0,1.00,†,1.00,0,1.42,10.05,1.00,0,26.50,54.78,40.64
CHARLO ELEM,Montana,3006112,16.75,16.76,13.07,13.07,–,–,16.75,0,†,23.36,3.87,0,="0.62",0,†,="0.62",="0.62",–,="0.50",–,1.00,–,0,–
CHARLO H S,Montana,3006115,9.75,9.75,10.26,10.26,–,–,0,9.75,†,14.49,3.00,0,0,="0.37",†,="0.37",="0.37",–,="0.50",–,="0.50",–,0,–
CHARLOTTE,Florida,1200240,1252.50,1035.50,13.52,16.36,12.00,54.00,327.00,448.00,411.50,2536.50,306.00,5.00,10.00,23.00,7.00,40.00,20.00,12.00,17.00,137.00,46.00,115.00,118.00,468.00
CHARLOTTE CO PBLC SCHS,Virginia,5100750,132.07,132.07,16.64,16.64,7.00,9.00,45.00,71.07,†,286.61,26.00,21.00,1.25,4.00,4.00,9.25,4.50,8.00,4.00,3.29,10.00,10.00,27.00,31.50
CHARLOTTE ISD,Texas,4813710,41.09,†,13.34,13.20,1.50,3.09,17.49,17.77,1.24,85.97,14.50,1.00,–,–,1.00,1.00,0,="0.67",2.00,4.00,1.30,3.00,1.11,16.30
CHARLOTTE PUBLIC SCHOOLS,Maine,2304160,6.50,4.40,7.69,8.41,1.00,1.00,4.50,0,†,15.20,3.10,0,0,0,†,0,0,0,="0.40",="0.80",="0.10",1.00,="0.30",3.00
CHARLOTTE PUBLIC SCHOOLS,Michigan,2608770,175.50,175.50,17.85,17.65,0,7.00,61.01,71.48,36.01,342.16,41.92,8.60,4.00,2.00,†,6.00,3.00,0,12.00,3.00,6.00,19.69,2.00,64.45
CHARLOTTE SCHOOL DISTRICT,Vermont,5003090,40.66,40.66,11.71,11.58,0,2.46,21.40,5.00,11.80,83.92,18.91,1.00,="0.80",1.00,†,1.80,1.00,1.00,0,0,1.50,4.00,3.00,11.05
CHARLOTTE SECONDARY SCHOOL,North Carolina,3700143,14.00,17.00,16.36,13.47,0,0,0,14.00,0,18.00,0,0,0,1.00,†,1.00,0,0,0,0,1.00,1.00,1.00,0
CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,New York,3607050,38.50,41.52,10.81,10.02,1.00,2.79,15.50,14.45,4.76,88.10,14.60,0,1.00,1.00,†,2.00,1.00,1.00,2.00,5.00,1.00,0,2.00,21.00
CHARLOTTE-MECKLENBURG SCHOOLS,North Carolina,3702970,8948.66,8617.65,15.31,15.52,183.54,0,4371.90,4174.95,218.27,17798.73,1915.79,40.74,61.44,187.78,†,249.22,160.87,16.33,102.42,550.16,402.90,555.05,742.25,4114.34
CHARLOTTESVILLE CTY PBLC SCHS,Virginia,5100780,280.85,280.85,14.29,14.29,12.33,19.00,134.00,115.52,†,780.15,110.50,60.70,8.00,8.00,†,16.00,10.00,="0.20",7.00,21.33,26.00,15.00,31.00,201.57
CHARLOTTESVILLE-ALBEMARLE TECH,Virginia,5100003,0,0,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHARLTON COUNTY,Georgia,1300990,115.20,115.20,15.35,15.35,4.50,8.10,55.20,47.40,0,246.80,21.60,0,2.20,1.30,†,3.50,4.00,3.00,4.40,2.70,8.00,14.30,9.00,61.10
CHARTER DAY SCHOOL,North Carolina,3700102,15.00,45.00,55.47,18.49,0,3.00,12.00,0,0,31.00,11.00,0,0,0,†,0,0,0,2.00,0,3.00,0,0,0
CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,Pennsylvania,4200053,32.20,32.20,17.83,17.83,0,0,0,29.20,3.00,55.00,0,0,0,1.00,†,1.00,0,0,2.00,1.00,2.00,3.00,8.80,5.00
CHARTER HIGH SCHOOL FOR ENVIRONMENT AND CIVIC STUDIES,New Jersey,3400732,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHARTER OAK UNIFIED,California,="0608190",239.20,239.20,25.56,25.43,–,–,159.15,80.05,†,438.86,69.00,–,–,–,†,–,–,–,5.00,–,14.00,–,20.66,91.00
CHARTER OAK-UTE COMM SCHOOL DISTRICT,Iowa,1907110,28.53,28.53,11.74,11.85,1.00,1.20,11.20,15.13,†,59.03,6.00,0,1.00,1.00,†,2.00,0,0,1.50,1.00,2.00,2.00,0,16.00
CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,New York,3600025,110.77,110.00,14.56,14.66,0,7.65,39.54,45.58,18.00,110.77,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHARTER SCHOOL FOR YOUNG CHIL,Connecticut,="0900213",11.06,11.06,16.73,16.73,5.00,1.00,5.06,0,0,28.48,10.00,1.00,1.00,0,†,1.00,0,0,1.00,1.50,="0.80",0,="0.62",1.50
CHARTER SCHOOL INSTITUTE,Colorado,="0800266",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHARTER SCHOOL OF EDUCATIONAL EXCELLENCE,New York,3600155,19.99,20.00,18.91,18.90,0,2.14,16.85,0,1.00,19.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CHARTER SCHOOL OF THE DUNES,Indiana,1800027,20.00,20.00,17.10,17.10,0,4.00,14.00,2.00,0,40.00,5.00,3.00,0,0,†,0,0,0,4.00,0,1.00,0,0,7.00
CHARTER SCHOOL OF WILMINGTON,Delaware,1000004,47.27,47.27,20.88,20.88,0,0,0,47.27,†,69.40,="0.13",0,0,4.00,†,4.00,0,0,6.00,2.00,1.00,0,2.00,7.00
CHARTER~TECH HIGH SCHOOL FOR THE PERFORMING ARTS,New Jersey,3400019,26.00,24.00,10.08,10.92,0,0,2.00,22.00,2.00,34.00,1.00,0,0,1.00,†,1.00,0,–,1.00,0,2.00,0,3.00,0
CHARTIERS VALLEY SD,Pennsylvania,4205700,245.00,245.00,13.92,13.92,0,13.00,107.58,118.17,6.25,486.50,35.00,0,2.00,6.00,†,8.00,4.00,1.00,6.00,11.00,10.00,12.50,3.00,151.00
CHARTIERS-HOUSTON SD,Pennsylvania,4205730,76.00,76.00,14.78,14.78,0,4.00,33.00,38.00,1.00,125.50,5.50,0,1.00,1.00,†,2.00,2.00,="0.50",3.50,2.00,4.00,4.50,0,25.50
CHARYL STOCKWELL ACADEMY,Michigan,2600100,45.00,45.00,19.71,19.51,0,4.50,26.70,11.80,2.00,76.79,6.00,1.90,0,0,†,0,0,0,="0.20",0,4.65,4.00,4.56,10.48
CHASE ACADEMY FOR COMMUNICATION ARTS,Ohio,3900511,0,0,†,†,0,0,0,0,0,–,0,0,–,–,†,–,0,0,0,0,0,0,0,0
CHASE COUNTY,Kansas,2005250,41.00,39.00,10.22,10.74,0,2.00,17.30,20.70,1.00,70.00,0,="0.60",0,0,†,0,0,1.90,1.00,2.30,1.00,2.50,5.00,14.70
CHASE COUNTY SCHOOLS,Nebraska,3100163,49.02,49.02,11.22,11.22,0,3.00,22.16,23.86,†,99.06,15.50,1.54,="0.75",1.25,†,2.00,1.00,1.00,1.00,2.00,2.00,3.00,2.25,18.75
CHASE-RAYMOND,Kansas,2004650,23.00,20.00,6.43,7.40,0,1.00,9.70,12.30,0,35.90,0,0,0,0,†,0,0,1.70,1.00,1.00,3.00,2.00,3.00,1.20
CHASSELL TOWNSHIP SCHOOL DISTRICT,Michigan,2608880,15.44,15.44,17.68,17.49,0,1.50,6.45,6.99,="0.50",29.91,4.00,="0.01",0,0,†,0,0,0,1.17,1.00,1.00,1.01,1.00,5.28
CHATEAUGAY CENTRAL SCHOOL DISTRICT,New York,3607080,50.02,43.90,11.32,12.89,1.16,2.45,19.76,20.42,6.23,104.73,14.30,0,1.00,1.00,†,2.00,1.00,0,1.00,7.00,1.85,="0.26",1.00,26.30
CHATFIELD PUBLIC SCHOOLS,Minnesota,2708220,58.97,58.80,14.86,14.85,="0.64",4.00,27.37,26.09,="0.87",99.59,11.61,="0.53",1.00,1.00,†,2.00,1.00,1.38,2.60,2.70,2.00,4.75,4.79,7.26
CHATFIELD SCHOOL,Michigan,2600151,21.78,21.78,20.80,20.62,0,2.00,14.03,4.25,1.50,48.68,11.80,1.55,0,0,†,0,0,0,="0.40",="0.20",1.55,1.40,1.70,8.30
CHATHAM,Massachusetts,2503480,66.56,66.56,10.13,10.13,0,4.00,39.61,22.95,†,120.66,28.85,="0.25",2.00,1.00,†,3.00,1.60,1.00,2.75,4.20,3.00,4.80,4.65,0
CHATHAM CENTRAL SCHOOL DISTRICT,New York,3607110,110.50,101.62,11.36,12.35,0,7.16,37.58,53.61,12.15,272.49,40.50,="0.60",1.42,3.57,†,4.99,3.00,1.00,4.00,19.00,4.00,0,6.50,78.40
CHATHAM CHARTER,North Carolina,3700020,22.00,21.00,14.32,15.00,0,2.00,16.00,0,4.00,37.00,11.00,0,0,0,†,0,0,0,0,0,2.00,2.00,0,0
CHATHAM COUNTY,Georgia,1301020,2691.80,2690.80,12.88,12.88,78.00,184.80,1473.80,955.20,0,4899.70,604.00,58.00,43.50,51.70,†,95.20,50.00,30.50,34.00,69.00,176.00,187.50,166.20,737.50
CHATHAM COUNTY SCHOOLS,North Carolina,3700750,567.51,562.56,13.92,14.03,13.96,0,330.85,217.75,4.95,1158.31,190.17,4.80,11.00,10.95,†,21.95,16.00,5.48,12.02,38.56,26.94,54.65,67.83,152.40
CHATHAM SCHOOL DISTRICT,New Hampshire,3302200,0,†,†,†,0,0,0,0,†,–,0,–,0,0,†,0,0,0,0,0,0,0,–,0
CHATHAM SCHOOL DISTRICT,Alaska,="0200730",18.50,17.90,8.70,8.99,0,0,8.30,10.20,†,40.30,6.00,–,0,0,†,0,0,="0.70",1.00,2.00,2.10,3.00,0,7.00
CHATOM UNION,California,="0608250",30.65,30.65,22.58,22.58,–,–,28.78,1.87,†,71.25,17.00,–,–,–,†,–,–,–,1.00,–,2.80,–,="0.80",19.00
CHATTAHOOCHEE COUNTY,Georgia,1301050,70.00,70.10,12.87,12.85,2.10,3.30,25.80,38.80,0,188.90,34.00,2.90,1.00,1.00,†,2.00,="0.50",3.00,5.50,2.00,3.00,12.00,8.00,46.00
CHATTAHOOCHEE-FLINT RESA,Georgia,1300016,0,†,†,†,0,0,0,0,0,32.70,4.80,9.20,0,0,†,0,0,0,4.50,0,0,5.00,5.80,3.40
CHATTANOOGA,Oklahoma,4007320,20.30,20.30,13.94,13.94,="0.50",1.00,11.60,7.20,†,39.50,3.00,0,="0.20",="0.20",†,="0.40",="0.60",="0.40",1.00,2.00,2.00,="0.90",="0.40",8.50
CHATTOOGA COUNTY,Georgia,1301080,200.40,200.60,13.87,13.86,5.00,10.80,104.30,80.30,0,434.00,53.60,0,2.50,3.00,†,5.50,6.00,0,8.90,5.00,22.00,21.00,21.00,90.60
CHAUTAUQUA CO COMMUNITY,Kansas,2011520,35.10,35.10,10.66,10.66,0,3.00,16.50,15.60,0,52.40,3.30,1.00,0,1.00,†,1.00,1.00,="0.60",="0.50",1.20,="0.50",1.90,1.00,5.30
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,New York,3600018,82.92,84.01,10.08,9.95,1.58,3.97,28.82,38.91,9.64,178.91,15.50,1.00,1.33,2.66,†,3.99,1.00,2.00,2.00,13.00,3.00,="0.50",3.00,51.00
CHAWANAKEE UNIFIED,California,="0600116",47.92,47.92,15.78,15.78,–,–,30.70,17.22,†,77.77,16.00,–,–,–,†,–,–,–,1.00,–,3.40,–,="0.45",9.00
CHAZY UNION FREE SCHOOL DISTRICT,New York,3607170,42.07,34.97,11.84,14.24,0,2.63,18.27,14.18,6.99,90.72,13.00,0,="0.50",1.50,†,2.00,1.00,0,="0.50",5.00,1.50,1.45,2.00,22.20
CHEATHAM COUNTY,Tennessee,4700570,440.27,428.78,15.81,16.23,6.00,28.00,250.87,141.40,14.00,951.88,153.00,5.00,11.74,6.00,5.00,22.74,12.87,6.00,1.00,16.00,20.00,26.00,9.00,240.00
CHEB-OTSEGO-PRESQUE ISLE ESD,Michigan,2680260,31.53,†,4.44,4.09,1.00,0,0,0,30.53,104.20,19.87,3.97,0,0,†,0,0,1.00,3.00,0,1.00,8.63,18.27,16.93
CHEBEAGUE ISLAND PUBLIC SCHOOLS,Maine,2314771,3.40,3.40,11.18,5.88,="0.50",0,2.90,0,†,8.70,1.70,0,0,0,†,0,0,0,="0.30",0,="0.30",="0.60",0,2.40
